N,S,Comparisons,Time
10000,116,273259,0.000715333
10000,117,273259,0.000693667
10000,118,273259,0.000720333
10000,119,273259,0.000726667
10000,120,273259,0.000719667
10000,121,273259,0.000721333
10000,122,273259,0.000714667
10000,123,273259,0.000713
10000,124,273259,0.000716
10000,125,273259,0.000709333
10000,126,273259,0.000709667
10000,127,273259,0.000701667
10000,128,273259,0.000713
100000,1,1536453,0.014369333
100000,2,1536453,0.011633667
100000,3,1536436,0.010336667
100000,4,1536813,0.010177667
100000,5,1536813,0.010219667
100000,6,1554387,0.009631
100000,7,1557626,0.009412333
100000,8,1557626,0.009499667
100000,9,1557626,0.009481333
100000,10,1557626,0.009403667
100000,11,1557626,0.009365333
100000,12,1619395,0.008935667
100000,13,1638920,0.008737
100000,14,1638920,0.008791333
100000,15,1638920,0.008728
100000,16,1638920,0.008771333
100000,17,1638920,0.009083333
100000,18,1638920,0.008809667
100000,19,1638920,0.008798667
100000,20,1638920,0.008765333
100000,21,1638920,0.008779
100000,22,1638920,0.008789667
100000,23,1638920,0.008800667
100000,24,1765781,0.008456333
100000,25,1863580,0.008355
100000,26,1863580,0.008398333
100000,27,1863580,0.008339333
100000,28,1863580,0.008336333
100000,29,1863580,0.008372
100000,30,1863580,0.008355
100000,31,1863580,0.008377
100000,32,1863580,0.008347667
100000,33,1863580,0.008800667
100000,34,1863580,0.008391
100000,35,1863580,0.008408333
100000,36,1863580,0.008417667
100000,37,1863580,0.008418667
100000,38,1863580,0.008363667
100000,39,1863580,0.008400333
100000,40,1863580,0.008385
100000,41,1863580,0.008442
100000,42,1863580,0.008486333
100000,43,1863580,0.008427667
100000,44,1863580,0.008508333
100000,45,1863580,0.008460333
100000,46,1863580,0.008442333
100000,47,1863580,0.008457
100000,48,1949779,0.008380333
100000,49,2383558,0.008664667
100000,50,2383558,0.008275
100000,51,2383558,0.008300333
100000,52,2383558,0.008191667
100000,53,2383558,0.008246
100000,54,2383558,0.008236333
100000,55,2383558,0.008273667
100000,56,2383558,0.008253333
100000,57,2383558,0.008296
100000,58,2383558,0.008300333
100000,59,2383558,0.008270333
100000,60,2383558,0.008226667
100000,61,2383558,0.008251333
100000,62,2383558,0.008269667
100000,63,2383558,0.008270667
100000,64,2383558,0.00828
100000,65,2383558,0.008366333
100000,66,2383558,0.008125
100000,67,2383558,0.008168333
100000,68,2383558,0.008138
100000,69,2383558,0.008137667
100000,70,2383558,0.008047333
100000,71,2383558,0.008124333
100000,72,2383558,0.008156333
100000,73,2383558,0.008105667
100000,74,2383558,0.008143333
100000,75,2383558,0.008173
100000,76,2383558,0.008174333
100000,77,2383558,0.008163667
100000,78,2383558,0.008123667
100000,79,2383558,0.008085
100000,80,2383558,0.008171
100000,81,2383558,0.008267667
100000,82,2383558,0.008122667
100000,83,2383558,0.008133667
100000,84,2383558,0.00796
100000,85,2383558,0.008163
100000,86,2383558,0.008147667
100000,87,2383558,0.008086
100000,88,2383558,0.008049667
100000,89,2383558,0.008186333
100000,90,2383558,0.008115333
100000,91,2383558,0.008169
100000,92,2383558,0.008126
100000,93,2383558,0.008187
100000,94,2383558,0.008115667
100000,95,2383558,0.008176333
100000,96,2383558,0.008148667
100000,97,2768249,0.008487667
100000,98,3509855,0.008562
100000,99,3509855,0.008463333
100000,100,3509855,0.008529333
100000,101,3509855,0.008483333
100000,102,3509855,0.008401
100000,103,3509855,0.008268667
100000,104,3509855,0.008472
100000,105,3509855,0.008606667
100000,106,3509855,0.00861
100000,107,3509855,0.00847
100000,108,3509855,0.008472667
100000,109,3509855,0.008617333
100000,110,3509855,0.00844
100000,111,3509855,0.008465
100000,112,3509855,0.008461667
100000,113,3509855,0.008779667
100000,114,3509855,0.008413
100000,115,3509855,0.008420667
100000,116,3509855,0.008438
100000,117,3509855,0.008617333
100000,118,3509855,0.008462333
100000,119,3509855,0.008377
100000,120,3509855,0.008448333
100000,121,3509855,0.008747333
100000,122,3509855,0.008422667
100000,123,3509855,0.008382
100000,124,3509855,0.008455
100000,125,3509855,0.008638
100000,126,3509855,0.008547
100000,127,3509855,0.008415
100000,128,3509855,0.008486333
1000000,1,18674227,0.152418667
1000000,2,18674227,0.124903333
1000000,3,18674223,0.123594333
1000000,4,18728006,0.112264667
1000000,5,18728006,0.112640333
1000000,6,18728006,0.113801667
1000000,7,18821211,0.109241333
1000000,8,19071724,0.105149
1000000,9,19071724,0.104886667
1000000,10,19071724,0.105045667
1000000,11,19071724,0.104479333
1000000,12,19071724,0.104906667
1000000,13,19071724,0.105157667
1000000,14,19071724,0.105620667
1000000,15,19888140,0.098632667
1000000,16,20224830,0.097654
1000000,17,20224830,0.100565333
1000000,18,20224830,0.100016667
1000000,19,20224830,0.099347
1000000,20,20224830,0.099602667
1000000,21,20224830,0.100208
1000000,22,20224830,0.100412
1000000,23,20224830,0.100129667
1000000,24,20224830,0.100187333
1000000,25,20224830,0.099873667
1000000,26,20224830,0.098844667
1000000,27,20224830,0.098599
1000000,28,20224830,0.099220333
1000000,29,20224830,0.099123667
1000000,30,21602375,0.095716
1000000,31,23185067,0.094087333
1000000,32,23185067,0.093943
1000000,33,23185067,0.097331
1000000,34,23185067,0.096964667
1000000,35,23185067,0.095368667
1000000,36,23185067,0.095963333
1000000,37,23185067,0.096375
1000000,38,23185067,0.096381667
1000000,39,23185067,0.096648
1000000,40,23185067,0.096395667
1000000,41,23185067,0.095760667
1000000,42,23185067,0.096163667
1000000,43,23185067,0.095950333
1000000,44,23185067,0.096495333
1000000,45,23185067,0.096405
1000000,46,23185067,0.096208667
1000000,47,23185067,0.096772
1000000,48,23185067,0.103928667
1000000,49,23185067,0.097499667
1000000,50,23185067,0.096002
1000000,51,23185067,0.095686333
1000000,52,23185067,0.09646
